index,lr,num_epochs,model,criterion,alpha,gamma,f1,precision,recall,roc_score,roc_curve
0,0.0001,100,1,focal,,4,0.14661016949152542,0.5258358662613982,0.08517971442639094,0.8449229070036994,"(array([0.        , 0.        , 0.        , ..., 0.99825927, 0.99836166,
       1.        ]), array([0.00000000e+00, 4.92368291e-04, 2.95420975e-03, ...,
       1.00000000e+00, 1.00000000e+00, 1.00000000e+00]), array([1.5951407 , 0.59514076, 0.5633578 , ..., 0.17985263, 0.17977187,
       0.15976909], dtype=float32))"
1,0.0001,100,1,focal,,5,0.14965986394557823,0.5482866043613707,0.08665681930083703,0.8438806703146086,"(array([0.        , 0.        , 0.        , ..., 0.99784968, 0.99795208,
       1.        ]), array([0.00000000e+00, 4.92368291e-04, 4.43131462e-03, ...,
       1.00000000e+00, 1.00000000e+00, 1.00000000e+00]), array([1.5945363 , 0.5945363 , 0.5530804 , ..., 0.216591  , 0.2163435 ,
       0.20000859], dtype=float32))"
2,0.0001,100,1,ce,,0,0.15164279696714406,0.5247813411078717,0.08862629246676514,0.8449967546849352,"(array([0.        , 0.        , 0.        , ..., 0.99902724, 0.99912963,
       1.        ]), array([0.00000000e+00, 4.92368291e-04, 4.43131462e-03, ...,
       1.00000000e+00, 1.00000000e+00, 1.00000000e+00]), array([1.8589469e+00, 8.5894692e-01, 7.5959414e-01, ..., 1.3141462e-03,
       1.3117490e-03, 5.3726666e-04], dtype=float32))"
3,1e-05,100,1,ce,,0,0.1016042780748663,0.5352112676056338,0.056129985228951254,0.8344000724788712,"(array([0.00000000e+00, 5.11980340e-05, 5.11980340e-05, ...,
       9.98924841e-01, 9.98924841e-01, 1.00000000e+00]), array([0.        , 0.        , 0.00196947, ..., 0.99950763, 1.        ,
       1.        ]), array([1.8415582e+00, 8.4155816e-01, 7.9017758e-01, ..., 8.6429279e-04,
       8.4632891e-04, 4.1225801e-05], dtype=float32))"
4,0.0001,100,1,focal,0.1,2,0.36911231884057977,0.23967063667107777,0.8025603151157066,0.8441025032536338,"(array([0.00000000e+00, 5.11980340e-05, 5.11980340e-05, ...,
       9.98105673e-01, 9.98208069e-01, 1.00000000e+00]), array([0.00000000e+00, 0.00000000e+00, 9.84736583e-04, ...,
       1.00000000e+00, 1.00000000e+00, 1.00000000e+00]), array([1.8058947 , 0.80589473, 0.7665585 , ..., 0.13018528, 0.13008738,
       0.11342939], dtype=float32))"
5,0.0001,100,1,focal,0.1,1,0.3696225765745096,0.24095124139994017,0.793205317577548,0.8440904915041513,"(array([0.        , 0.        , 0.        , ..., 0.99902724, 0.99912963,
       1.        ]), array([0.00000000e+00, 4.92368291e-04, 9.84736583e-04, ...,
       1.00000000e+00, 1.00000000e+00, 1.00000000e+00]), array([1.9006574 , 0.90065736, 0.8854879 , ..., 0.08280501, 0.08263417,
       0.06810489], dtype=float32))"
6,0.0001,100,1,focal,0.1,4,0.36281727282716186,0.23352192362093352,0.8129000492368291,0.8436143699546241,"(array([0.        , 0.        , 0.        , ..., 0.99918083, 0.99928323,
       1.        ]), array([0.00000000e+00, 4.92368291e-04, 9.84736583e-04, ...,
       1.00000000e+00, 1.00000000e+00, 1.00000000e+00]), array([1.6954575 , 0.6954575 , 0.6891843 , ..., 0.27163464, 0.27151796,
       0.25808382], dtype=float32))"
7,0.0001,100,1,focal,0.2,4,0.41019830028328613,0.3327205882352941,0.534711964549483,0.8431462898491364,"(array([0.        , 0.        , 0.        , ..., 0.99447061, 0.99457301,
       1.        ]), array([0.00000000e+00, 4.92368291e-04, 3.93894633e-03, ...,
       1.00000000e+00, 1.00000000e+00, 1.00000000e+00]), array([1.6699754 , 0.6699754 , 0.64139897, ..., 0.23853815, 0.23849899,
       0.18632402], dtype=float32))"
8,0.0001,100,1,focal,0.2,7,0.4099702380952381,0.32944693572496264,0.5425898572131955,0.8434596792920867,"(array([0.        , 0.        , 0.        , ..., 0.99887364, 0.99897604,
       1.        ]), array([0.00000000e+00, 4.92368291e-04, 2.95420975e-03, ...,
       1.00000000e+00, 1.00000000e+00, 1.00000000e+00]), array([1.6057783 , 0.60577834, 0.5864744 , ..., 0.29647213, 0.2960157 ,
       0.28122208], dtype=float32))"
9,0.0001,100,1,focal,0.2,7,0.41337504888541254,0.34284787544599415,0.5204332840965041,0.8436395026182841,"(array([0.        , 0.        , 0.        , ..., 0.99313946, 0.99324186,
       1.        ]), array([0.00000000e+00, 4.92368291e-04, 2.95420975e-03, ...,
       1.00000000e+00, 1.00000000e+00, 1.00000000e+00]), array([1.6049743 , 0.6049743 , 0.5886726 , ..., 0.3426713 , 0.3426685 ,
       0.33646533], dtype=float32))"
10,5e-05,100,1,focal,0.2,7,0.40746610318718085,0.31716008771929827,0.5696701132447071,0.8429364812637379,"(array([0.00000000e+00, 0.00000000e+00, 5.11980340e-05, ...,
       9.97184108e-01, 9.97286504e-01, 1.00000000e+00]), array([0.00000000e+00, 4.92368291e-04, 4.92368291e-04, ...,
       1.00000000e+00, 1.00000000e+00, 1.00000000e+00]), array([1.5919753 , 0.59197533, 0.5848819 , ..., 0.3242246 , 0.3240258 ,
       0.30913457], dtype=float32))"
11,5e-06,100,1,focal,0.15,6,0.400726392251816,0.2892724492025344,0.6518956179222059,0.8419108946492181,"(array([0.        , 0.        , 0.        , ..., 0.99851526, 0.99861765,
       1.        ]), array([0.00000000e+00, 4.92368291e-04, 1.47710487e-03, ...,
       1.00000000e+00, 1.00000000e+00, 1.00000000e+00]), array([1.6318674 , 0.63186735, 0.6291968 , ..., 0.35913196, 0.35913166,
       0.358527  ], dtype=float32))"
12,5e-06,100,2,focal,0.15,6,0.39113541516765005,0.2763318422122814,0.6691285081240768,0.8383375567299929,"(array([0.        , 0.        , 0.        , ..., 0.99918083, 0.99928323,
       1.        ]), array([0.00000000e+00, 4.92368291e-04, 9.84736583e-04, ...,
       1.00000000e+00, 1.00000000e+00, 1.00000000e+00]), array([1.5788573 , 0.5788573 , 0.5788113 , ..., 0.29930422, 0.29916522,
       0.2888336 ], dtype=float32))"
